product_title	product_vendor	product_type	shipping_country	shipping_region	net_quantity	gross_sales	discounts	returns	net_sales	taxes	total_sales	State
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Alabama	4	1188.55	0	-214.19	974.36	0	974.36	AL
Liquid	Waterworks Lamson	Reels	United States	Alabama	9	967.21	-56	0	911.21	0	911.21	AL
Force SL Series II	Waterworks Lamson	Reels	United States	Alabama	1	629.99	0	0	629.99	0	629.99	AL
Remix	Waterworks Lamson	Reels	United States	Alabama	3	537.33	0	0	537.33	0	537.33	AL
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Alabama	2	455.62	0	0	455.62	0	455.62	AL
Guru S	Waterworks Lamson	Reels	United States	Alabama	1	359.99	0	0	359.99	0	359.99	AL
Radius	Waterworks Lamson	Rods	United States	Alabama	1	429.99	-171.99	0	258	0	258	AL
Liquid Vapor (Legacy)	Waterworks Lamson	Reels	United States	Alabama	2	223.98	0	0	223.98	0	223.98	AL
Remix HD	Waterworks Lamson	Reels	United States	Alabama	1	185.63	0	0	185.63	0	185.63	AL
Guru S Spool	waterworks-lamson	Reels	United States	Alabama	1	179.99	0	0	179.99	0	179.99	AL
Speedster Grey & Orange Spool (Legacy)	Waterworks Lamson	Reels	United States	Alabama	1	112.79	0	0	112.79	0	112.79	AL
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	Alabama	2	107.98	0	0	107.98	0	107.98	AL
Multi Reel Case	Waterworks Lamson	Accessories	United States	Alabama	3	59.97	0	0	59.97	0	59.97	AL
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Alabama	4	47.96	0	0	47.96	0	47.96	AL
Ketchum ReleaseÂ®	Waterworks Lamson	Accessories	United States	Alabama	2	39.98	0	0	39.98	0	39.98	AL
Logo Sticker	Waterworks Lamson	Accessories	United States	Alabama	3	2.97	0	0	2.97	0	2.97	AL
Liquid	Waterworks Lamson	Reels	United States	Alaska	11	1396.89	0	0	1396.89	5.76	1402.65	AK
